Unnamed: 0,Coal_Share_PhasedOut,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,num_supply_policy,WDI_Coal_El_.,WDI_NG_El_.,Share_VRE_Gen,Coal_duration_year,Gas_duration_year,Coal_logCurrent_MW,Gas_logCurrent_MW,LogBP_GasR2P_yr,HHI_Coal_Import,HHI_Gas_Import,NetValue_Coal_Import,NetValue_Gas_Import,R_Choice,0,1,2,3,4,5,6,Segment K-means PCA,cntry,year
AGO-2017,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,1.6033169811393302,-0.8073289667655044,-0.2727122698451389,-0.3963141027356651,-1.0871026770545749,-1.3307323086057008,-1.278530576799795,-0.1313042399430277,-0.5952616121551928,1.5400085264996926,0.8129219842546954,-0.004024126307307,-0.1680255133193541,0.0,-1.8632251092088634,0.3460079184163413,1.3016286220338131,0.4794539561266231,-0.5526243349152382,1.323475686251786,0.54643988144406,0,AGO,2017
AGO-2018,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,2.145738488055441,-0.8073289667655044,-0.406118076220386,-0.4011519687389857,-1.0871026770545749,-1.2825939969331202,-1.278530576799795,-0.1313042399430277,-0.5952616121551928,0.7449384081840773,-0.8463120963916521,-0.0025322974070594,-0.2198921841061805,0.0,-1.257831703838436,0.5167359932323156,1.4702682150834352,-0.11348328512788236,-1.3756579803337599,0.5498368171995685,-0.46755322957271617,0,AGO,2018
AGO-2019,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,2.145738488055441,-0.8073289667655044,-0.2606087233392347,-0.4051624734479195,-1.0871026770545749,-1.2344556852605393,-1.278530576799795,-0.1313042399430277,-0.5952616121551928,1.5243913905216735,-0.1488986567808582,-0.0071500149642917,-0.1788799800607129,0.0,-1.5553735425265536,0.551558484695102,1.433556410513201,0.1827281712639398,-1.2499517787968721,1.2502847157666512,-0.013647064908526026,0,AGO,2019
AGO-2020,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,2.145738488055441,-0.8073289667655044,-0.2969710479626785,-0.406598601412695,-1.0871026770545749,-1.1863173735879584,-1.278530576799795,-0.1313042399430277,-0.5952616121551928,1.3703257529346005,-0.2505610219385844,-0.0089064728643186,-0.1531224993943377,0.0,-1.4826549916045941,0.5546614749623056,1.4250084002632388,0.1185386298278626,-1.2544152020485342,1.1274482052525265,-0.06193671624775072,0,AGO,2020
AGO-2021,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,2.145738488055441,-0.8073289667655044,-0.2468905762961426,-0.4064176136057411,-1.0871026770545749,-1.1381790619153778,-1.278530576799795,-0.1313042399430277,-0.5952616121551928,1.3817848508478752,0.8243500315945045,-0.008661442273996,-0.4172182727376348,0.0,-1.6727664228831527,0.5264501141417892,1.2149079768130817,0.5934601144807553,-0.7180682388904683,1.3404773435185193,0.6607638525569176,0,AGO,2021
ARE-1995,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,-0.8375797999831692,-0.8073289667655044,2.091958318240909,-0.425183786839204,-1.0871026770545749,-0.5605193218444081,-1.278530576799795,0.4925821574384703,-0.5952616121551928,-0.1966219708509803,0.9582536788406212,-0.0096776933152151,-0.103420199895166,0.0,-2.2949945434084795,1.511066297566527,0.07925046573897761,-0.3397485072832299,0.9279584681995746,-0.5796455121821713,0.7164625916016315,0,ARE,1995
ARE-1996,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,-0.8375797999831692,-0.8073289667655044,2.083589974305069,-0.425183786839204,-1.0871026770545749,-0.5123810101718272,-1.278530576799795,0.5006850541154587,-0.5952616121551928,1.2584278080589442,0.9582536788406212,-0.0095311275131534,-0.1161991314538325,0.0,-2.647616302641906,1.565055477551861,0.20414423890017483,-0.1128259753556885,0.49955583051231883,0.4405089545874716,0.5811754026619226,0,ARE,1996
ARE-1997,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,-0.8375797999831692,-0.8073289667655044,2.0591339213080757,-0.425183786839204,-1.0871026770545749,-0.4642426984992465,-1.278530576799795,0.5532112944418144,-0.5952616121551928,-0.1060102802199437,0.9582536788406212,-0.0096944641984444,-0.1494334871257312,0.0,-2.289110087824767,1.5629114663331012,0.03079832627914158,-0.31185324573778095,0.9016407832191655,-0.5184225985413095,0.7167029854861287,0,ARE,1997
ARE-1998,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,-0.8375797999831692,-0.8073289667655044,2.0745700655774213,-0.425183786839204,-1.0871026770545749,-0.4161043868266657,-1.278530576799795,0.6226712268305853,-0.5952616121551928,-0.397260266440539,0.9582536788406212,-0.0097381747908563,-0.1226832042329771,0.0,-2.1928472297693853,1.6060373563041923,-0.03410266703703905,-0.3894400841894565,0.9890821579007816,-0.7213986492629436,0.7677466204874934,0,ARE,1998
ARE-1999,-0.2822706379527758,-0.3853171056151045,-0.3070921194273283,-0.8375797999831692,-0.8073289667655044,2.082942991090777,-0.425183786839204,-1.0871026770545749,-0.3679660751540849,-1.278530576799795,0.6226712268305853,-0.5952616121551928,0.8361209105319273,0.8826588911554877,-0.0100382504443486,-0.1090696706834365,0.0,-2.4795921857360876,1.6626423644826527,0.08412324825408135,-0.23496953218343147,0.5874574019387631,0.13020237653963537,0.6062254042110353,0,ARE,1999
