Unnamed: 0,Coal_Share_PhasedOut,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,num_supply_policy,WDI_Coal_El_.,WDI_NG_El_.,Share_VRE_Gen,Coal_logCurrent_MW,Gas_logCurrent_MW,LogBP_GasR2P_yr,HHI_Coal_Import,HHI_Gas_Import,NetValue_Coal_Import,NetValue_Gas_Import,R_Choice
AGO-2017,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,1.6033169811393302,-0.8073289667655044,-0.27271226984513897,-0.39631410273566514,-1.278530576799795,-0.13130423994302778,-0.5952616121551928,1.5400085264996926,0.8129219842546954,-0.004024126307307084,-0.1680255133193541,0.0
AGO-2018,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,2.145738488055441,-0.8073289667655044,-0.406118076220386,-0.4011519687389857,-1.278530576799795,-0.13130423994302778,-0.5952616121551928,0.7449384081840773,-0.8463120963916521,-0.0025322974070594063,-0.21989218410618053,0.0
AGO-2019,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,2.145738488055441,-0.8073289667655044,-0.2606087233392347,-0.40516247344791956,-1.278530576799795,-0.13130423994302778,-0.5952616121551928,1.5243913905216735,-0.14889865678085829,-0.007150014964291793,-0.17887998006071298,0.0
AGO-2020,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,2.145738488055441,-0.8073289667655044,-0.2969710479626785,-0.406598601412695,-1.278530576799795,-0.13130423994302778,-0.5952616121551928,1.3703257529346005,-0.2505610219385844,-0.008906472864318683,-0.15312249939433778,0.0
AGO-2021,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,2.145738488055441,-0.8073289667655044,-0.24689057629614267,-0.4064176136057411,-1.278530576799795,-0.13130423994302778,-0.5952616121551928,1.3817848508478752,0.8243500315945045,-0.008661442273996045,-0.4172182727376348,0.0
ARE-1995,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.091958318240909,-0.42518378683920405,-1.278530576799795,0.4925821574384703,-0.5952616121551928,-0.19662197085098038,0.9582536788406211,-0.009677693315215148,-0.10342019989516607,0.0
ARE-1996,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.0835899743050694,-0.42518378683920405,-1.278530576799795,0.5006850541154587,-0.5952616121551928,1.2584278080589442,0.9582536788406211,-0.009531127513153435,-0.11619913145383257,0.0
ARE-1997,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.0591339213080753,-0.42518378683920405,-1.278530576799795,0.5532112944418144,-0.5952616121551928,-0.10601028021994376,0.9582536788406211,-0.009694464198444481,-0.14943348712573123,0.0
ARE-1998,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.0745700655774213,-0.42518378683920405,-1.278530576799795,0.6226712268305853,-0.5952616121551928,-0.397260266440539,0.9582536788406211,-0.009738174790856341,-0.12268320423297713,0.0
ARE-1999,-0.28227063795277585,-0.38531710561510457,-0.30709211942732834,-0.8375797999831692,-0.8073289667655044,2.0829429910907775,-0.42518378683920405,-1.278530576799795,0.6226712268305853,-0.5952616121551928,0.8361209105319273,0.8826588911554877,-0.010038250444348642,-0.10906967068343658,0.0
