Unnamed: 0,Coal_Share_PhasedOut,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,num_supply_policy,WDI_Coal_El_.,WDI_NG_El_.,Share_VRE_Gen,Coal_logCurrent_MW,Gas_logCurrent_MW,LogBP_GasR2P_yr,HHI_Coal_Import,HHI_Gas_Import,NetValue_Coal_Import,NetValue_Gas_Import,R_Choice,0,1,2,3,4,5,6,Segment K-means PCA,cntry,year
SVK-1996,-0.2822706379527758,0.7577621800706411,-0.3070921194273283,-0.8375797999831692,0.164923479962824,-0.7094121289977893,-0.425183786839204,0.4647623819666122,-0.7649167374793143,-0.5989413535593999,-1.0949011390122962,0.9582536788406212,0.0387354115482784,0.0689282207592309,0.0,-0.02075084600795429,-1.159939661894319,-0.4355908673286063,0.542971617555112,1.2071288005830614,-1.1609354613126788,0.263365982930764,0,SVK,1996
SVK-1997,-0.2822706379527758,0.4737673264841173,-0.3070921194273283,-0.8375797999831692,0.2492845811821621,-0.7058573027304819,-0.425183786839204,0.4647623819666122,-0.7649167374793143,0.2096011999403188,-1.1306030137471232,0.9582536788406212,0.0358554682887092,0.0741684552819603,0.0,-0.09129529681026291,-1.3412166901646845,0.06296256933637426,0.31857610732123476,1.0912709646395808,-0.9220818412294084,0.2622350170354185,0,SVK,1997
SVK-1998,-0.2822706379527758,0.7790620070857702,-0.3070921194273283,-0.8375797999831692,0.1632608402008894,-0.7113446995270767,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.7401002762316377,-1.108565435407766,0.9582536788406212,0.0303389541768585,0.0560913840707537,0.0,0.03786034027394537,-1.0227813279783553,-0.3599690429935212,0.43756351778748254,1.2312165287959493,-1.2457001735070141,0.3158387495655005,0,SVK,1998
SVK-1999,-0.2822706379527758,0.4098684844271502,-0.3070921194273283,-0.8375797999831692,0.1655510154044344,-0.6560847565804865,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-1.135241319742377,0.9582536538280948,0.0254183717290976,0.0508126930164806,0.0,-0.11895335989441391,-1.0790000992829434,-0.24637717831434292,0.3085216923109293,1.1640259538160893,-1.1885116168305152,0.3718432160452174,0,SVK,1999
SVK-2000,-0.2822706379527758,0.9778581916001924,-0.3070921194273283,-0.8375797999831692,-0.0422167423999776,-0.6563577474667588,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-1.0167484033779095,0.958253651889503,0.0279999623487715,0.0866999328714288,0.0,0.06984313429562941,-0.8583466489992961,-0.313858900332099,0.4491952047052095,1.2502299204812894,-1.1582123172703602,0.27217268851049226,0,SVK,2000
SVK-2001,-0.2822706379527758,0.8074612794482803,-0.3070921194273283,-0.5663690465251137,-0.0499551551563364,-0.7325548390296645,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-1.0036887377920356,0.9582536764198234,0.0336969310249364,0.093790007653066,0.0,0.10214916340272487,-0.8821249076815993,-0.3204241866210629,0.42557803611159994,1.1140911672635354,-1.0628911929112588,0.38993940208816713,0,SVK,2001
SVK-2002,-0.2822706379527758,1.2831526592057,-0.3070921194273283,-0.5663690465251137,-0.137212059487843,-0.7541894213786845,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-0.7905661520692171,0.7008963764530537,0.0259144560605567,0.0799340156592271,1.0,0.4163470724158536,-0.6936413612893625,-0.376475190208425,0.5580517101717023,0.9757977895683175,-1.0545490822110453,0.10037725081948703,0,SVK,2002
SVK-2003,-0.2822706379527758,0.7080630806929964,-0.3070921194273283,-0.5663690465251137,-0.0105215699013107,-0.7561925298752494,-0.425183786839204,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-0.8720793875180471,0.6402457437757727,0.0360970867899845,0.1068832871655734,1.0,0.22817390893772405,-0.8693351942520634,-0.36025117124503014,0.37259823761418226,0.8613795605707735,-1.0567829097348822,0.1636719327174046,0,SVK,2003
SVK-2004,-0.2822706379527758,0.9068594782035642,-0.3070921194273283,-0.5663690465251137,-0.0332202921993051,-0.7493053033831535,-0.4201209259816382,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-1.0671852110027655,-0.781104959551451,0.0727268068896112,0.1120399354833653,1.0,0.6201001653756075,-0.6956747687685474,-0.5450949850466692,-0.0609843106029083,0.21841554856989814,-1.3256658180336647,-0.896417262908638,0,SVK,2004
SVK-2005,-0.2822706379527758,1.0062576769588427,-0.3070921194273283,-0.5663690465251137,-0.0718482252119799,-0.7806762434489127,-0.4202647021834004,0.4647623819666122,-0.3986108564430354,-0.5952616121551928,-0.9896270157542666,-0.0244904350381447,0.0840249342434432,0.1419666188570365,1.0,0.5150055030835717,-0.74282517209235,-0.4835320708191789,0.19125970027831343,0.6143937326866359,-1.2118083311621963,-0.35648180830959075,0,SVK,2005
