,Coal_Latitude,Coal_Longitude,Coal_Plant,Coal_Status,Coal_EndYr,Coal_StartYr,Coal_MW,Coal_TrackerLOC,Transition,GEM_Name,Region,Country Code,Coal_Price_Var,NG_Price_Var,GasMinusCoal_Var,BP_Name,Hanson_Name,Reform_Name,R_IndepProducer,R_Private,R_Unbundle,R_WholeSale,R_IndepReg,R_Choice,R_Liberalization,R_Corp,BP_GasReserve_tM3,BP_GasProduction_bM3,BP_CoalProduction_mTon,BP_CoalReserve_mTon,BP_GasR2P_yr,BP_CoalR2P_yr,year,GDPpc_2015$,GDPpc_2017$,Population,WDI_EnergyGDP_kgOilEq/$1k,WDI_Manu_GDP_%,WDI_CoalRents_%,WDI_OilRents_%,WDI_NGRents_%,WDI_Coal_El_%,WDI_NG_El_%,WDI_Fossil_El_%,logGDPpc,LNG_Import_km,LNG_Export_km
10,51.184537,12.372852,Lippendorf power station,retired,2000,1969,250.0,L101983,0,Germany,Europe & Central Asia,DEU,1.2955363570914327,2.91031,1.6147736429085673,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2320528875839999,17.665448976,201.572,66000.0,13.135974517220784,327.4264282737682,2000.0,34490.0757688619,42928.1813366719,82211508.0,95.369993138582,20.5459700629181,0.0156124005348027,0.0201562303638046,0.0220483201424161,9.17242837398417,53.1460931343513,63.1546024640363,10.667283796861476,636.668536636139,1376.9613197934975
11,55.141667,-1.528611,Blyth power station,retired,2000,1958,1140.0,L104718,0,United Kingdom,Europe & Central Asia,GBR,1.2955363570914327,2.91031,1.6147736429085673,United Kingdom,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7313249999999999,113.45904,31.197582666666666,1500.0,6.445718208086372,48.08064829980204,2000.0,39187.5830817436,38854.7275202319,58892514.0,97.4335265761091,13.2478706217085,0.0031483513428821,0.899607457881131,0.143159542076019,39.553121869783,32.6677796327212,74.4769282136895,10.567585034885049,526.5991926445722,1084.786067167811
12,49.967827,9.097259,Aschaffenburg power station,retired,2000,1963,300.0,L104701,0,Germany,Europe & Central Asia,DEU,1.2955363570914327,2.91031,1.6147736429085673,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2320528875839999,17.665448976,201.572,66000.0,13.135974517220784,327.4264282737682,2000.0,34490.0757688619,42928.1813366719,82211508.0,95.369993138582,20.5459700629181,0.0156124005348027,0.0201562303638046,0.0220483201424161,9.17242837398417,53.1460931343513,63.1546024640363,10.667283796861476,441.80917279533634,1495.1947113171198
13,51.1232743,4.2727854,Schelle power station,retired,2000,1966,272.0,L104713,0,Belgium,Europe & Central Asia,BEL,1.2955363570914327,2.91031,1.6147736429085673,,Belgium,Belgium,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,35674.7912530713,43024.1399101042,10251250.0,131.771563305575,17.5359744500664,0.0,0.0,2.36893974858375e-05,19.302187911517,19.3662184528771,39.6312807316395,10.669516630411692,77.48120871097059,1391.2941297691796
14,53.487278,9.5082308,Hafen Hamburg power station,retired,2000,1981,80.0,L104706,0,Germany,Europe & Central Asia,DEU,1.2955363570914327,2.91031,1.6147736429085673,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2320528875839999,17.665448976,201.572,66000.0,13.135974517220784,327.4264282737682,2000.0,34490.0757688619,42928.1813366719,82211508.0,95.369993138582,20.5459700629181,0.0156124005348027,0.0201562303638046,0.0220483201424161,9.17242837398417,53.1460931343513,63.1546024640363,10.667283796861476,487.78302477219125,1104.5259964052154
15,55.008713,82.853682,Novosibirsk-3 power station,retired,2000,1952,150.0,L103365,0,Russia,Europe & Central Asia,RUS,1.2955363570914327,2.91031,1.6147736429085673,Russian Federation,Russia,Russian Federation,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.15571320740412,537.0560471976402,262.21045466838774,157010.0,61.73603924657533,598.7938207824984,2000.0,5323.66650390625,14569.9365234375,146596869.0,289.931062766559,,0.267292850766668,15.355993811466,4.1520862923239,42.257332840446,19.8773942688153,65.8982415787,9.586715542517956,2953.211228003839,4072.8522344142348
16,42.9954,12.1995,Pietrafitta power station,retired,2001,1958,68.0,L104723,1,Italy,Europe & Central Asia,ITA,1.4051198981004596,3.667058,2.26193810189954,Italy,Italy,Italy,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.178425,14.624725000000002,0.0,34.0,12.200229406023018,0.0,2001.0,32963.6706090266,43869.4279411713,56974100.0,68.8548115693102,17.1425651051331,7.35012042924132e-05,0.0322847284179457,0.0613333422247091,38.3193450388754,13.5254915518548,79.4320580814582,10.688972954211351,225.554516048899,1332.9402191150305
17,51.130257,3.7590611,Rodenhuize power station,retired,2001,1964,133.0,L104712,0,Belgium,Europe & Central Asia,BEL,1.4051198981004596,3.667058,2.26193810189954,,Belgium,Belgium,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,35943.2379602838,43347.8892099274,10286570.0,129.976697585187,17.0405421304565,0.0,0.0,0.0,20.0717392963443,16.2354677045969,38.4237706377674,10.677013289210686,44.83607167498957,1396.5618691784202
18,17.7213221,-64.7274884,St Croix Alumina power station,retired,2001,1964,35.0,L104697,0,United States,North America,USA,1.805422966162707,4.068333333333333,2.262910367170626,US,United States,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9742214057075,531.8949871187684,1023.0222071583,249994.0,9.35188622974706,244.3681068218654,2001.0,48726.5816727299,50149.8286916684,284968955.0,156.089991323785,13.9193094025158,0.212622185194759,0.16943295765488,0.466751378646037,17.1904936685152,51.6334269469013,72.1988282370336,10.822770377465371,214.4963023942905,6241.104201599064
19,52.1465,11.0291,Offleben power station,retired,2001,1973,325.0,L104710,0,Germany,Europe & Central Asia,DEU,1.4051198981004596,3.667058,2.26193810189954,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.223763526,17.833381524,203.015,66000.0,12.547453532514917,325.09913060611285,2001.0,35011.068457503,43576.6365260124,82349925.0,96.6067237457816,20.3411674813812,0.0363504237141466,0.0153289209077331,0.0475097973402925,10.0414857893127,51.8395355791341,62.6987073069295,10.682276426217989,544.5043065433036,1260.0888297346862
20,47.25,15.166667,Zeltweg power station,retired,2001,1962,137.0,L100049,0,Austria,Europe & Central Asia,AUT,1.4051198981004596,3.667058,2.26193810189954,Austria,Austria,Austria,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,2001.0,39184.8085972636,46878.9162398602,8042293.0,80.1737299135172,18.3410929949555,0.0015114146178692,0.0440884027065614,0.0436415765473745,14.3219742250315,13.1544041790165,30.4534363895394,10.755323306233253,544.5910589361847,1801.1323712672354
21,49.335278,7.030556,Weiher power station,retired,2001,1964,150.0,L101977,0,Germany,Europe & Central Asia,DEU,1.4051198981004596,3.667058,2.26193810189954,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.223763526,17.833381524,203.015,66000.0,12.547453532514917,325.09913060611285,2001.0,35011.068457503,43576.6365260124,82349925.0,96.6067237457816,20.3411674813812,0.0363504237141466,0.0153289209077331,0.0475097973402925,10.0414857893127,51.8395355791341,62.6987073069295,10.682276426217989,351.26122582444964,1568.5745544931976
22,49.2518734,6.8338663,Wehrden power station,retired,2001,1962,110.0,L104716,0,Germany,Europe & Central Asia,DEU,1.4051198981004596,3.667058,2.26193810189954,Germany,Germany,Germany,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.223763526,17.833381524,203.015,66000.0,12.547453532514917,325.09913060611285,2001.0,35011.068457503,43576.6365260124,82349925.0,96.6067237457816,20.3411674813812,0.0363504237141466,0.0153289209077331,0.0475097973402925,10.0414857893127,51.8395355791341,62.6987073069295,10.682276426217989,346.98818503745775,1578.6401313334793
23,35.402755,139.642852,Isogo power station (original),retired,2001,1967,530.0,L104728,1,Japan,East Asia & Pacific,JPN,1.3567269618430524,4.6376621949958645,3.280935233152812,Japan,Japan,Japan,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.2,773.0,0.0,241.5625,2001.0,31476.052066579,36375.5864162464,127149000.0,110.191159150736,21.1197171693841,0.0004092890261054,0.0011351191409413,0.0038059664772795,23.6256516407441,23.3847802106528,59.0198464619617,10.50165312575268,1.3114920890571196,4284.619842374659
