"","Country.Code","year","Coal_AnnualMtCO2","Coal_duration_year","Coal_Share_Ret","Coal_Share_EarlyRet","Coal_Share_Tran","Coal_Share_PhasedOut","Coal_logCurrent_MW","Gas_Current_MW","Gas_duration_year","Gas_logCurrent_MW","Coal_Gen_Decline_Perc","Gas_Gen_Decline_Perc","Share_VRE_Gen","GDPpc_2015.","Population","WDI_Manu_GDP_.","WDI_CoalRents_.","WDI_OilRents_.","WDI_NGRents_.","WDI_NG_El_.","WDI_Coal_El_.","logGDPpc","BP_GasReserve_tM3","BP_GasProduction_bM3","BP_CoalProduction_mTon","BP_CoalReserve_mTon","BP_CoalR2P_yr","LogBP_GasR2P_yr","HHI_Gas_Import","contiguity_Gas_Import","agree_Gas_Import","sanction_Gas_Import","common_language_Gas_Import","colony_Gas_Import","HHI_Gas_Export","contiguity_Gas_Export","agree_Gas_Export","sanction_Gas_Export","common_language_Gas_Export","colony_Gas_Export","NetValue_Gas_Import","NetQuantity_Gas_Import","HHI_Coal_Import","contiguity_Coal_Import","agree_Coal_Import","sanction_Coal_Import","common_language_Coal_Import","colony_Coal_Import","HHI_Coal_Export","contiguity_Coal_Export","agree_Coal_Export","sanction_Coal_Export","common_language_Coal_Export","colony_Coal_Export","NetValue_Coal_Import","NetQuantity_Coal_Import","R_IndepProducer","R_Private","R_Unbundle","R_WholeSale","R_IndepReg","R_Choice","R_Liberalization","R_Corp","StateCapacity","num_supply_policy","binary_airqual","ghg_ambition_n","cw_2030","annex_one","annex_two"
"EGY-2022","EGY",2022,0,0,0,0,0,0,0,53793,39,10.8928986261605,0,0,0.0445960882310538,26914.3218953151,120533689.496366,3.96551041194094,0,3.76972256200163,0,47.5192019781084,0,10.4809116568688,1.02800461369003,0.953951068902666,1.19959258364949,3.01527074358641,2.42388694597024,0.152843585901997,0.477243427460621,0.282287918519949,0.370343501806696,0.419811045600543,0.917634973319829,0.0815117175302671,0.908333132125658,0.0246218726084792,0.67119076116479,0,0.586323958357623,0,-3442625.17531632,-28927699.1220578,0.628358289264428,0,0.425284147022246,0.28625446667097,0.970949883812085,0.31228286563251,0,0,0.177460778552053,0,0.489934601578518,0.0687901587094108,2024451.12872915,27454774.8995465,1,0,1,1,1,0,1,0,0.40760590679158,4,1,0,0,0,0
"ESP-1995","ESP",1995,69.8,44,0,0,0,0,9.44469286769771,59,2,4.07753744390572,0,0,0.0017512077294685,20001.790799896,39724050,16.2672496895273,0.006224111557031,0.0060286233651504,0.0003305422858266,2.26454745283703,40.5076209570279,10.2764848549342,0.803779289610956,26.0329436178862,28.464,947.962912473903,33.3196283763208,0,0.314137993473353,0.0485175695229594,0.764541061511545,0,0,0,0.464289940828402,0.957692307692308,1,0,0.476923076923077,0,638545.687,5936800.343,0.292627787297932,1.92829515226088e-05,0.124835318255095,0.302717455799879,0.387179670032236,0,0.895269531213073,0.989366806925914,1,0.0106331930740863,0.0442762947853001,0,614559.083,14227122.501,1,1,1,0,0,0,1,1,1.845,0,0,0,0,1,1
"ESP-1996","ESP",1996,71.3,45,0,0,0,0,9.46951493937982,83,3,4.4188406077966,0,0,0.0021918440329929,20448.6014871574,39889852,16.3478147108665,0.0037697537975626,0.0063573803908436,0.0001679038315379,3.90332535402186,31.5346234822484,10.2985775386081,1.04753076316026,6.21633279912017,27.37,270.667009834748,7.35095954120271,0,0.367340044471495,0.0277556960140886,0.995081934025144,0.0003389283450336,0.0003389283450336,0,0.666220284556895,0.0204415372035977,0.205233033524121,0.184791496320523,0,0,809615.295,7050400.536,0.29347209946952,0.0025149813361549,0.150917312459662,0.23072558834053,0.313828784963264,0,0.794595317630108,0.0575066692818988,0.999601558232748,0,0.0497467300068869,0,542830.93,10073418.524,1,1,1,0,0,0,1,1,2.003,0,0,0,0,1,1
"ESP-1997","ESP",1997,75.8,46,0,0,0,0,9.53246734846101,170,4,5.13579843705026,0,0,0.0040181875859151,21117.0185808291,40057389,16.6588351294515,0.0020003098995417,0.0039843224053494,0.0006464343883731,9.60839981601611,33.8234283388053,10.3307423285867,0.573998568934218,6.92109783970221,26.467,70.6036011094621,2.52018009343115,0,0.290888241352926,0.0542395401802711,0.986324621356429,0,0,0,0.979553330787304,0.989672076808791,0.989685379768006,0,1.31164146507903e-05,0,1206634.911,6779701.63,0.201772807120932,0.0003821987955413,0.13502021472793,0.25368343741094,0.295595851474495,0,0.545611735538884,0.186147636584192,0.999789819450396,0,0.0004795097623601,0,469417.568,8899947.397,1,1,1,0,1,0,1,1,1.883,0,0,0,0,1,1
"ESP-1998","ESP",1998,75.8,47,0,0,0,0,9.53246734846101,239,5,5.47646355193151,0,0,0.00708413051347,21953.667519614,40223509,16.5525465248663,0.0023891919857952,0.0016603722596544,5.20928087999325e-05,8.38297344254157,32.6621576900802,10.3695972561339,0.715835408342349,6.18433758559118,26.075,123.326978361609,4.21527340394135,0,0.280391255777399,0,0.942504844397291,0,0,0,0.999969046890541,0.999995627909342,0.999995683334801,0,4.3166651990331e-06,0,888843.771,6002999.057,0.182072054626515,4.04825228618795e-05,0.146481619468434,0.138187179644034,0.24090985678562,0,0.275703715351114,0.183044704008139,0.999694751487615,0,0.431957878602848,0,570763.967,10252903.008,1,1,1,0,1,1,1,1,1.737,1,0,0,0,1,1
"ESP-1999","ESP",1999,75.8,48,0,0,0,0,9.53246734846101,239,6,5.47646355193151,0,0,0.0134707970626853,22846.7177460286,40386875,16.2996896208473,0.0003006277724892,0.0027374390042391,6.57580839072651e-05,9.25878243464489,36.6484159796344,10.4094705089165,0.563864656160187,13.0394318024558,24.258,660,27.207519168934,0,0.334820430131821,0,0.900849201282613,8.3538510206579e-06,0.0029751133861421,0,0.999999963688311,0.999999981844155,1,0,0,0,906532.611,5915765.895,0.268339743608741,0.0002092434857313,0.122963641478713,0.0583244425652525,0.128148940891917,0,0.389745511801448,0.716126013311906,0.999926442940474,0,0.0021137854691833,0,591051.178,18773682.077,1,1,1,1,1,1,1,1,1.754,1,0,0,0,1,1
"ESP-2000","ESP",2000,75.8,49,0,0,0,0,9.53246734846101,381,7,5.9427993751267,0,0,0.0214557305812058,23937.9685518675,40567864,16.2325905184989,0.0038446562303987,0.0048350604862431,0.0005742988009559,9.13358168757157,36.6004137225524,10.4561288861115,0.391224739244555,9.16229728161355,23.486,660,28.1018479093928,0,0.411994457286877,1.54420157724214e-07,0.83942875055901,0,0.043652116492538,0,0.996336235362786,0.998164808156723,0.999991174611062,0,2.34204066712028e-05,0,1726969.828,12239549.45,0.289361496675459,4.46398006870696e-06,0.60066755031315,0,0.113557932656005,0,0.286995634201514,0.418705649399645,0.998721640919763,0.001489664316441,0.150523698596617,0,751468.604,26083959.053,1,1,1,1,1,1,1,1,1.763,1,0,0,0,1,1
"ESP-2001","ESP",2001,75.8,50,0,0,0,0,9.53246734846101,828,8,6.71901315438526,0,0,0.0290899729694941,24707.3670736861,40850412,15.8325404105319,0.0123799392928752,0.0061348233895011,0.0036885047102891,10.0220108380852,30.7782740585325,10.4877645066491,0.425167734411562,4.17966684884957,22.684,660,29.095397637101,0,0.24671430137014,1.62140569437051e-05,0.65030515715655,0,0.0237873185913427,0,0.996696525966178,0.998376550492095,0.999990165815645,0,0,0,1841212.913,6443164.957,0.300450057234597,0.0001787739645535,0.6513956191334,0,0.0843169564118116,0,0.452684502223822,0.151683455087724,0.999767763955656,0,1.41663987049775e-05,0,802769.622,23278854.374,1,1,1,1,1,1,1,1,1.771,1,0,0,0,1,1
"ESP-2002","ESP",2002,75.8,51,0,0,0,0,9.53246734846101,3959,9,8.28374674710613,0,0,0.0390146304864324,25026.0864710207,41431558,15.2409706064422,0.0040249033623876,0.0044256137815808,0.002488832500217,13.4988350137756,34.3689692685387,10.5005817850781,0.478635873954958,11.6099656454317,22.035,530,24.0526435216701,0,0.235043754878695,0,0.860326357098016,0,0.0563134134600324,0,0.999886257426317,0.999943125478448,0.999943125478448,0,0,0,2053721.989,8549595.456,0.263302952158904,4.44156225417246e-05,0.529106853331127,0,0.0769605422414425,0,0.235150232200156,0.494803046554896,0.999920511841478,0.0136427000010532,0.0755165005120292,0,749127.928,22147138.948,1,1,1,1,1,1,1,1,1.82,1,0,0,0,1,1
"ESP-2003","ESP",2003,75.8,52,0,0,0,0,9.53246734846101,6485,10,8.77724709675054,7.94530672579453,0,0.0469879518072289,25310.4563874129,42187645,14.7048485165768,0.003171107333918,0.0040117888311546,0.0010271676703272,15.2996545063794,29.5185241320882,10.5118806516893,0.440454123602129,8.07495319740421,20.548,530,25.7932645512945,0,0.271044753998566,0.0001390132744297,0.956245917534968,0,0.0106411235601092,0,0.609012172088473,0.740212531651272,0.987634067181124,0,0.0123655619185572,0,2821920.198,16374461.556,0.275777247236492,0.0002332628037769,0.756628455991514,0,0.0900842054182522,0,0.162612908042275,0.329765930975424,1,0.0030148650653553,0.0434804424266162,0,885595.669,26344936.371,1,1,1,1,1,1,1,1,1.85,1,0,0,0,1,1
"ESP-2004","ESP",2004,75.8,53,0,0,0,0,9.53246734846101,8067,11,8.99553694493697,2.56220744025624,0,0.057445642243742,25654.3365515924,42921895,14.1706721958678,0.0206753364971601,0.0036654446717559,0.0010470210972523,20.0468458568888,29.0339487876466,10.5253756690594,0.369497503168054,3.06412971261198,20.496,530,25.8587041373927,0,0.259860088636741,0.004911304399475,0.953914560521617,0,3.81944163068956e-08,0,0.82813953985054,0.921413688332658,0.938727003430219,0.0173131400300164,0.0612729965697808,0,3723052.586,18543531.111,0.328345253307836,1.27776917204809e-05,0.807808766614219,0,0.0704241875413384,0,0.217534877744368,0.569917473338436,0.999825570894946,2.9003841877899e-08,0.120012009910845,0,1293502.049,24568279.113,1,1,1,1,1,1,1,1,1.877,1,0,0,0,1,1
"ESP-2005","ESP",2005,75.8,54,0,0,0,0,9.53246734846101,12784,12,9.45594966800606,2.61148066026115,0,0.0746326372776488,26145.8085786196,43653155,13.7091756464878,0.0125934254833309,0.0032744655840555,0.0003753163883514,27.2974140164798,27.9040923146021,10.5443519392576,0.744927874980253,9.1670026358885,19.354,530,27.3845199958665,0,0.281477030885583,0.0873218497426693,0.813302944977451,0.0003772719613302,0.011736557781485,0,0.999999799862887,0.999999946354997,0.99999995357644,0,9.07838513037434e-08,0,5860784.893,26213890.64,0.216523049817053,5.33397196271059e-05,0.43320329694844,0.0196812212320788,0.131199947384234,0,0.295010713623202,0.673320520464619,0.942571312784659,0,0.0578676413710622,0,1690529.938,22141443.112,1,1,1,1,1,1,1,1,1.913,1,0,0,0,1,1
"ESP-2006","ESP",2006,75.3,55,0,0,0.579684941234439,0.579684941234433,9.5266536321021,17839,13,9.78914235075127,17.7876324217788,0,0.0793199214251845,26762.2672557942,44397319,13.3352194560196,0.0116704698183558,0.0029154908429331,0.0003071654233904,30.6412433774722,22.9980174706173,10.5676560026177,0.395600308910503,3.86629310562054,18.399,530,28.8059133648568,0,0.20431999223637,0.0796782365824579,0.720050722065179,0,0.100231741610809,0,0.853387383835789,1,0.999999922031894,0,7.79681058769703e-08,0,8038293.616,30447402.727,0.258589191973968,0.0002446333855709,0.490880840359383,0.0077859984721499,0.139624975340962,0,0.50221719871708,0.192931605016198,0.979825411008414,0,0.0158788887383418,0,1555803.716,25962747.472,1,1,1,1,1,1,1,1,1.935,1,0,0,0,1,1
"ESP-2007","ESP",2007,71.3,56,0,0,6.0359694506036,6.0359694506036,9.47020921778248,20982,14,9.95142020629143,10.3227395910323,0,0.0931582263788014,27218.4492597353,45226803,12.8991138396655,0.0145400693241205,0.0028466450350846,8.33384517777598e-05,31.4071408929926,24.5445419577987,10.5845580703747,0.430857686264524,5.84195477976357,17.18,530,30.8498253783469,0,0.295539985130698,0.0718481119667291,0.776172922322229,0,0.0617363225352457,0,0.518872843773925,0.935079713529286,1,0,6.15617775407978e-09,0,8619456.879,40799764.562,0.213303788580624,0.0004834910990946,0.410388762718782,0,0.194590045142988,0,0.623733779710881,0.0661015499780306,0.97835133082087,0.0114751188582503,0.0036680439630593,0,1406289.373,21743587.31,1,1,1,1,1,1,1,1,1.984,3,0,0,0,1,1
"ESP-2008","ESP",2008,70.9,57,0,0,6.0359694506036,6.52870165065286,9.46495158211708,23622,15,10.0699337601718,39.9975363389998,0,0.114365725689638,27025.2949432871,45954106,12.6955200393676,0.032079273609495,0.0033744712688285,0.000121351888769,38.8445484889606,16.0696255040549,10.5774363225797,0.334922864206439,4.76330841668848,10.203,530,51.9455062236597,0,0.152193712713098,0.173134665582912,0.799629800497847,0.244696153391613,0.102641450139178,0,0.86564677008447,0.999792368742633,0.999927212450317,0,5.29291821535938e-08,0,14416727.553,34197456.929,0.174725023446753,0.0012602145119831,0.673542350495661,0,0.214813893056001,0,0.63652587528976,0.0158936650166408,0.99999791269585,0,0.0098596108835208,0,1954496.504,19687655.135,1,1,1,1,1,1,1,1,1.909,3,0,0,0,1,1
"ESP-2009","ESP",2009,70.9,58,0,0,6.0359694506036,6.52870165065286,9.46495158211708,24134,16,10.0913769136335,55.7649667405765,10.8029801324503,0.151545295509896,25778.9564650653,46362946,11.5897628686561,0.0095697382441501,0.0016595111430676,8.17275434437884e-05,36.9158766432886,12.6556777184285,10.5302215636165,0.753397814520038,7.22163851590128,9.445,530,56.1143462149285,0,0.192094676136994,0.0299667264580507,0.851347883630613,0.36654889291459,0.0809116952063265,0,0.543437335224558,0.867766450319779,0.999973627916148,0,2.35333709775097e-08,0,9849943.75,27203372.89,0.196242734265079,0.0008420825999793,0.70456400074382,0,0.273050800404497,0,0.591818312661458,0.0129010493241016,0.99993189913997,0,0.0016706753798678,0,1316187.93,16740647.702,1,1,1,1,1,1,1,1,1.888,3,0,0,0,1,1
"ESP-2010","ESP",2010,70.9,59,0,0,6.0359694506036,6.52870165065286,9.46495158211708,25337,17,10.1400210569691,68.7977334318798,21.4817880794702,0.17259768572866,25702.3468448149,46576897,11.3975924505155,0.0162968550522323,0.0022176314385651,0.0002988922234435,31.7950522928399,8.82374631268437,10.5272453500448,0.345459898210686,4.87585657755711,8.43,530,62.870699881376,0,0.217267413062268,0.0226974841086938,0.60017430473146,0,0.0428942421427076,0,0.760224233492071,0.939586202557413,1,0,5.25108210182629e-08,0,10606070.465,31690769.51,0.178609174345564,0.0009880987142158,0.777975333549121,0,0.359037818375445,0,0.523590097339273,0.0178637477335539,0.999939977302869,6.4675870553558e-07,0.0125125185428073,0,1249124.645,11346327.357,1,1,1,1,1,1,1,1,1.796,4,0,0,0,1,1
"ESP-2011","ESP",2011,69.9,60,1.15936988246888,0,6.0359694506036,7.68807153312174,9.452470531459,26694,18,10.1921941000341,45.8240946045824,29.2135761589404,0.179565500909496,25402.6050717462,46742697,11.4986138829796,0.0155334692771782,0.0028817985927768,0.00039108502139,29.3304703069635,15.4788651713528,10.515514776039,0.346918288205329,5.7681205669788,6.621,530,80.0483310678145,0,0.197359208906343,0.0733028110062241,0.64584852951765,0,0.109999939220564,0,0.181481107679882,0.372633074521439,0.761144475602966,0,0.182725035171726,0,12579329.993,34092062.068,0.18680805593062,0.0008786326832927,0.811558778956181,0,0.404662700329874,0,0.453036028716611,0.0311211072586763,0.993245252697732,0,0.0124999527324507,0,1894777.318,15851870.546,1,1,1,1,1,1,1,1,1.96,6,1,0,0,1,1
"ESP-2012","ESP",2012,65.2,61,3.86939698273988,0,6.0359694506036,13.4559366984044,9.38795084904002,26719,19,10.1931302018005,32.1630943582163,39.3129139072848,0.209143207270994,24634.9620884239,46773055,11.1248719818757,0.0074474408940647,0.0044266059857127,0.000520506046413,24.9396139374434,19.0483156541086,10.4848297024572,0.424819002472517,5.98318577948412,6.181,530,85.7466429380359,0,0.139216584761394,0.146455319212105,0.637718457484297,0,0.166342015134784,0,0.147856696629302,0.149180946981102,0.676661236749687,0,0.199350116940029,0,11867063.158,17102566.988,0.205644661496929,0.0005217112340646,0.83389574348197,0,0.444434568521252,0,0.566717943519077,0.015477506357354,0.999999969767167,0,0.110818176629439,0,1971504.813,20651869.627,1,1,1,1,1,1,1,1,1.978,6,1,0,0,1,1
"ESP-2013","ESP",2013,62.3,62,8.14457342434387,0,6.0359694506036,17.7311131400084,9.33729015323515,26719,20,10.1931302018005,50.8006898250801,52.3675496688742,0.244253384019611,24368.9682370919,46620045,11.1869866764902,0.0028822246124274,0.010347316151723,0.0005394747633158,20.4430705821741,14.6856401783652,10.4739735747154,0.580207243318575,15.0993577606031,4.368,530,121.336996336996,0,0.244017239744038,0.126140846320191,0.818247971079604,0,0.140369560788785,0,0.279990518490734,0.477113892966884,0.96309454945341,0,0.275447705650288,0,10163812.344,22166305.218,0.1748269038693,0.0003760016995801,0.517096122867117,0,0.379439558968082,0,0.325101462450313,0.0363105601613017,0.999998166598936,0,0.0218707730905244,0,1204865.638,14889237.625,1,1,1,1,1,1,1,1,1.968,10,1,0,0,1,1
"ESP-2014","ESP",2014,62.3,63,8.14457342434387,0,6.0359694506036,17.7311131400084,9.33729015323515,26719,21,10.1931302018005,46.0335057896034,60.8692052980132,0.238888484760311,24783.0829468685,46480882,11.3032244569091,0.0025335084191447,0.0079086346486516,0.0001609273406479,17.1933704068755,16.4739642624632,10.4908243265628,0.61926783477138,10.3373097655013,3.899,530,136,0,0.15114950513751,0.189677404450285,0.677804717751286,0,0.155961644698271,0,0.201898022846542,0.387199369882685,0.823556635169058,0,0.182886472684392,0,8371807.586,9001928.671,0.213503806661576,0.0009399883831388,0.566069712932189,0,0.451511978355968,0,0.329853005450418,0.0268971258157281,0.999993653022633,0,0.0408548044980146,0,1281414.21,18292155.264,1,1,1,1,1,1,1,1,1.974,11,1,0,0,1,1
"ESP-2015","ESP",2015,60.8,64,8.14457342434387,0,8.36920133907221,19.5716128284278,9.31466435061508,26719,22,10.1931302018005,36.7208672086721,56.5397350993378,0.227728124549517,25754.36102944,46444832,11.294026854851,0.0017451511545335,0.0029307758008732,0.0003509622876312,18.8983124064048,18.9623891256768,10.5292670185304,0.636466189147586,23.014123755436,3.064,530,173,0,0.146918724428564,0.118950011790951,0.590554534991848,0.0034561041683036,0.126717638378195,0,0.0990720709582073,0.204533191395137,0.747052785288698,2.03511378734608e-05,0.167450916965027,0,6545986.001,11126791.949,0.219496875926282,0.0001262850598054,0.556435878248117,0,0.421610176899204,0,0.335474621932241,0.0260806811188378,0.946339360638161,0,0.0197493122405536,0,1209845.035,20579892.487,1,1,1,1,1,1,1,1,2.003,12,1,0,0,1,1
"ESP-2016","ESP",2016,58,65,10.4466472472211,2.30207382287727,8.36920133907221,23.4163732011652,9.26568046700935,26719,23,10.1931302018005,55.1244148805124,56.2665562913907,0.230613223201445,26514.3248119679,46484062,11.2649629403636,0.0011367896634245,0.0013292731433236,0.0001797214878117,19.480806,13.433386,10.5583481912789,0.365516047666405,11.4955216049572,1.741802,1187,681.478147343958,0,0.345067556320754,0.0546258809756075,0.858234212347063,0,0.0674990674504358,0,0.572784348407137,0.783179571761607,1,5.88811047414186e-06,0.0528405794372627,0,5023947.476,25045704.48,0.214903741540713,0.0015547112210726,0.473380650442908,0,0.397112205090616,0,0.282887506291273,0.11021741881176,0.969647226232563,6.99153626653506e-07,0.0258669129969921,0,883138.149,16463284.689,1,1,1,1,1,1,1,1,1.79070545568815,12,1,0,0,1,1
"ESP-2017","ESP",2017,58,66,10.4466472472211,2.30207382287727,8.36920133907221,23.4163732011652,9.26568046700935,26719,24,10.1931302018005,44.4074895294408,46.9867549668874,0.232795895932576,27239.3524364815,46593236,11.3279919345682,0.0019244758647489,0.0016398936365538,0.0001159642133535,23.466473,16.537193,10.5853257538699,0.586863935271386,41.5106487735016,2.977,1187,427,0,0.250118695798021,0.107901523301638,0.857649673673946,0,0.12685338691486,0,0.919891708395817,0.964063191404615,0.999985210000647,0,0.000726158394272,0,6148627.255,24825682.294,0.192739945695532,0.0004061790490529,0.528098605208073,0,0.457039157082993,0,0.182534742675767,0.105577359532433,0.999836655308804,0,0.0001305377675136,0,1682809.007,22161435.485,1,1,1,1,1,1,1,1,2.30203143905896,13,1,0,0,1,1
"ESP-2018","ESP",2018,56,67,13.0914597916033,2.30207382287727,8.36920133907221,26.0611857455473,9.2305350792617,26742,25,10.1939906421746,54.0034491254004,51.9867549668874,0.234073856112991,27739.8647682529,46797754,11.0268727483866,0.0015592957370588,0.001764912494645,0.000544366653518,21.332941,13.734,10.6035335852958,0.609173620183503,25.053142030253,2.401,1187,494.377342773844,0,0.259222263967032,0.0918330528042714,0.861050806268375,0,0.109195453960545,0,0.679899187410818,0.832961969963187,0.954670230550322,0,0.0178926122182373,0,6974122.172,22947177.079,0.192685556507057,9.14686226715012e-05,0.699537877977248,0,0.47042130836566,0,0.125961018157405,0.165863047321892,0.996961067540853,0,0.0001052253276786,0,1594710.7,17193271.446,1,1,1,1,1,1,1,1,1.60189725270384,14,1,0,0,1,1
"ESP-2019","ESP",2019,54.4,68,14.9029752329609,2.30207382287727,8.36920133907221,27.8727011869049,9.2057297594185,26742,26,10.1939906421746,84.1586597684159,30.703642384106,0.261176123149618,28087.8979203438,47134837,10.9138162347563,0,0.0007440005101594,0.0005950431968515,30.90184,4.747314,10.6160018499734,0.58369739329758,46807.9562063165,0.12584,1187,9432.61284170375,0,0.161887139422409,0.131969781926671,0.729737471948306,0,0.194308814853544,0,0.510811893246837,0.952294303196852,0.962989535849756,0,0.0401565609251318,0,7696227.792,26620641.874,0.193376630625016,3.06303958692549e-05,0.566056421665277,0,0.367356482463749,0,0.393830647313198,0.0390542873713795,0.99734659812918,0,0.0340253222586542,0,545337.6,5323575.351,1,1,1,1,1,1,1,1,1.37951154783793,16,1,0,0,1,1
"ESP-2020","ESP",2020,27.7,69,52.4969928843673,2.30207382287727,8.63730562439314,62.3516368853528,8.55558663940311,26742,27,10.1939906421746,93.20029563932,42.2682119205298,0.296885226966465,24785.446714692,47365655,11.0148668725721,0,0.0002957349879874,0.0001136952728159,26.85096,2.125284,10.4909197002945,0.530695721289425,244715.033072847,0.095377,1187,12445.3484592722,0,0.150743006242237,0.102236479294767,0.7038465770537,0,0.254976976623531,0,0.573034142406286,0.946262610323196,0.943347170956634,0,0.0602810127299963,0,4845622.814,22229578.015,0.260975518747086,0.0017394930473747,0.209442487469743,0,0.289309052278752,0,0.253085158399252,0.014606859263704,0.791512791512892,0,0.0155992337596896,0,112181.905,1338021.753,1,1,1,1,1,1,1,1,1.74385922402327,19,1,0,0,1,1
"ESP-2021","ESP",2021,19.9,70,64.9747112444386,2.30207382287727,8.63730562439314,73.3439125835109,8.21031470788209,26742,28,10.1939906421746,94.0133037694013,40.8112582781457,0.329234518666223,26125.8716662745,47415750,11.5352299638229,0,0.000151493558291,0.0005672197304352,26.402275,1.7946162,10.5435891203385,0.760327710829644,26.4283123746969,0.099,11.9560023802638,25.7542523187312,0,0.201363698454813,0.108637997846585,0.690385207093359,0,0.19387714320552,0,0.153240288703442,0.394128606848862,0.550977227703042,0,0.160086714945465,0,8880032.086,24765986.217,0.245644045183702,0.0044775749293481,0.367006877328379,0,0.436558570831655,0,0.119488889719622,0.156986692879311,0.930010061018844,0,0.0002506562455726,0,601070.873,5016109.646,1,1,1,1,1,1,1,1,1.91199966246313,19,1,0,0,1,1
"ESP-2022","ESP",2022,15.9,71,64.9747112444386,2.30207382287727,13.9501181108068,78.6567250699245,7.98803386096174,26742,29,10.1939906421746,90.6134515890613,27.9801324503311,0.332221480987325,27434.8799078797,47615034,11.6422325839344,0,1.93665650041383,0,30.54668,2.675468,10.5924782385626,0.385152959899089,9.37984823441194,1.23155758607706,1.98691061737371,2.38887686737475,-1.65162105775888,0,0.102866827025121,0.856662703574977,6.93889390390723e-18,1,1.38777878078145e-17,0.425422331333648,0.496900107096445,0.908753957662274,0.120204118161515,0.218502821125153,0.0976304188823488,11569087.0965882,25488647.9158286,0.604923042780345,0,0.136859003584183,0,0,0,0.38628064206797,0,0.845497249229028,0.116975508861546,0.607999904718614,0,-285687.190336751,-31545554.459455,1,1,1,1,1,1,1,1,1.40343987880181,19,1,0,0,1,1
"EST-1995","EST",1995,0,0,0,0,0,0,0,173,13,5.15329159449778,0,0,0,7137.53077576403,1436634,16.9804147135312,0,1.01486539396069,0,3.03692626251007,0.368112274243644,9.45177304614743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43734.544,0,0.992036569352013,0.998291631735464,0.0029709546220958,0.996006944706814,0.999313732406554,0.996006944706814,0.466931121441267,0.0464280393011728,1,0.0279178299955448,0.152688803212533,0,-6657.965,-129618.828,0,0,0,0,0,0,0,0,1.388,0,0,0,0,1,0
"EST-1996","EST",1996,0,0,0,0,0,0,0,173,14,5.15329159449778,0,0,0,7601.66901867365,1415594,16.3168178001451,0,1.27526802566813,0,3.22970449302428,0.384488630121938,9.51477399023602,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,56705.806,678387.365,0.849219479535912,0.918576735401181,1,0.918576735401181,0.919389909823281,0.918576735401181,0.176342564328436,0.144302669753154,0.998236131018564,0.0041835822437839,0.247861643341958,0.0017638689814363,2946.677,45189.021,0,0,0,0,0,0,0,0,1.346,0,0,0,0,1,0
"EST-1997","EST",1997,0,0,0,0,0,0,0,173,15,5.15329159449778,0,0,0,8692.29643761449,1399535,16.5346089942668,0,0.875477580930388,0,2.79887177261879,0.835322195704057,9.64884332579601,0,0,0,0,0,0,0.999990259583926,1,1,0.999995129768244,1,0.999995129768244,1,1,1,0,1,0,57271.98,680049.211,0.79636341877287,0.888762805949149,1,0.888762805949149,0.888813038513724,0.888762805949149,0.177290338103499,0.445113448997842,0.825784540811331,0.0017288147912728,0.483148039752793,0.174215459188669,3200.399,16107.863,0,0,0,0,0,0,0,0,1.45,0,0,0,0,1,0
"EST-1998","EST",1998,0,0,0,0,0,0,0,173,16,5.15329159449778,0,0,0,9157.06484706853,1386156,14.8435691022974,0,0.233221617830374,0,3.12169933106443,1.1148926182373,9.7009318551279,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,50741.902,629951.376,0.850205863235324,0.937010062305217,0.962942991251023,0,0.974067071054194,0.920813662566813,0.466706746369351,0.100900134176489,1,0,0.766472572587054,0,223.779,53531.374,0,0,0,0,0,0,0,0,1.493,0,0,0,0,1,0
"EST-1999","EST",1999,0,0,0,0,0,0,0,173,17,5.15329159449778,0,0,0,9091.33319428774,1390244,14.487565129838,0,0.648546109503094,0,2.76971456216739,1.12481857764877,9.69372772280699,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,40451.82,1197211.674,0.995881326389445,0.99793736826111,1,0,0.998006912795418,0.99793736826111,0.153566321442934,0.0942348063898329,1,0,0.290968897140802,0,692.958,105009.541,0,0,0,0,0,1,0,0,1.476,0,0,0,0,1,0
"EST-2000","EST",2000,0,0,0,0,0,0,0,173,18,5.15329159449778,0,0,0,9960.13903877452,1396985,15.4671728526187,0,1.53035528821004,0,7.00105720662516,1.89122518501116,9.78499719054914,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,41581.921,305899.374,0.754401830594403,0.8629041167361,0.982541515454367,0,0.957040461379836,0.8629041167361,0.280233365697201,0.0508816143871855,1,0,0.0567323485737806,0.0438841981937516,1430.332,141887.229,0,0,0,0,0,1,0,0,1.406,0,0,0,0,1,0
"EST-2001","EST",2001,0,0,0,0,0,0,0,173,19,5.15329159449778,0,0,0,10625.5792686752,1388115,16.0502923328795,0,0.940432350616132,0,7.06118118590121,2.11010255805729,9.84967039206284,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,40663.418,-0.011,0.619228208197693,0.753748675526013,0.999970619338102,0,0.996124138505858,0.753748675526013,0.505312645439705,0.0032071428051423,0.95209116530773,0,0.0435848927537185,7.65654252218567e-05,701.967,179395.039,1,1,1,0,0,1,0,0,1.377,0,0,0,0,1,0
