Year,AR6_R10,GW,aged,GW_new,MWh/yr,MtCO2/yr,Type
2024,R10REST_ASIA,161.27499999999998,1.1824,162.45739999999998,498094388.39999986,328.2442019555999,Current_mid
2023,R10AFRICA,112.377,,,344547881.99999994,227.05705423799998,Current_mid
2023,R10CHINA+,121.725,,,373208849.99999994,245.94463214999996,Current_mid
2023,R10EUROPE,226.949,,,695825634.0,458.549092806,Current_mid
2023,R10INDIA+,56.05,,,171849299.99999997,113.24868869999999,Current_mid
2023,R10LATIN_AM,116.036,,,355766376.0,234.450041784,Current_mid
2023,R10MIDDLE_EAST,281.996,,,864599735.9999999,569.7712260239999,Current_mid
2023,R10NORTH_AM,567.794,,,1740856404.0,1147.224370236,Current_mid
2023,R10PAC_OECD,101.921,,,312489786.0,205.930768974,Current_mid
2023,R10REF_ECON,157.885,,,484075409.99999994,319.0056951899999,Current_mid
2023,R10REST_ASIA,165.453,,,507278898.0,334.296793782,Current_mid
2025,R10AFRICA,105.593,1.6997999999999998,107.2928,328959724.79999995,216.78445864319997,Current_mid
2025,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_mid
2025,R10EUROPE,210.21699999999998,8.2116,218.4286,669702087.6,441.3336757284,Current_mid
2025,R10INDIA+,54.150000000000006,0.40440000000000004,54.55440000000001,167263790.4,110.2268378736,Current_mid
2025,R10LATIN_AM,102.531,6.6972000000000005,109.2282,334893661.2,220.6949227308,Current_mid
2025,R10MIDDLE_EAST,256.401,11.6424,268.0434,821821064.4,541.5800814396,Current_mid
2025,R10NORTH_AM,479.25600000000003,48.6996,527.9556,1618711869.6,1066.7311220663998,Current_mid
2025,R10PAC_OECD,80.477,7.134600000000001,87.61160000000001,268617165.6,177.01871213040002,Current_mid
2025,R10REF_ECON,79.38000000000001,41.385,120.76500000000001,370265490.00000006,244.00495791000003,Current_mid
2025,R10REST_ASIA,160.783,0.8868,161.66979999999998,495679606.7999999,326.65286088119996,Current_mid
2026,R10AFRICA,104.82900000000001,1.1332,105.96220000000001,324880105.2,214.09598932679998,Current_mid
2026,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_mid
2026,R10EUROPE,210.002,5.4744,215.4764,660650642.4,435.3687733416,Current_mid
2026,R10INDIA+,54.0,0.2696,54.2696,166390593.6,109.6514011824,Current_mid
2026,R10LATIN_AM,102.531,4.4648,106.9958,328049122.79999995,216.18437192519997,Current_mid
2026,R10MIDDLE_EAST,254.753,7.7616,262.5146,804869763.5999998,530.4091742123999,Current_mid
2026,R10NORTH_AM,478.869,32.4664,511.33540000000005,1567754336.4000003,1033.1501076876002,Current_mid
2026,R10PAC_OECD,79.47900000000001,4.7564,84.23540000000001,258265736.4,170.1971202876,Current_mid
2026,R10REF_ECON,76.03,27.589999999999996,103.62,317698920.0,209.36358828,Current_mid
2026,R10REST_ASIA,160.351,0.5912,160.94219999999999,493448785.2,325.18274944679996,Current_mid
2027,R10AFRICA,104.361,0.5666,104.9276,321708021.59999996,212.00558623439997,Current_mid
2027,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_mid
2027,R10EUROPE,209.10500000000002,2.7372,211.84220000000002,649508185.1999999,428.0258940467999,Current_mid
2027,R10INDIA+,53.25,0.1348,53.3848,163677796.8,107.86366809120001,Current_mid
2027,R10LATIN_AM,102.531,2.2324,104.7634,321204584.4,211.67382111959998,Current_mid
2027,R10MIDDLE_EAST,253.313,3.8808,257.1938,788556190.8,519.6585297372,Current_mid
2027,R10NORTH_AM,477.474,16.2332,493.7072,1513706275.1999998,997.5324353568,Current_mid
2027,R10PAC_OECD,78.214,2.3782,80.5922,247095685.20000005,162.83605654680002,Current_mid
2027,R10REF_ECON,69.758,13.794999999999998,83.553,256173498.0,168.818335182,Current_mid
2027,R10REST_ASIA,159.601,0.2956,159.8966,490242975.59999996,323.0701209204,Current_mid
2024,R10AFRICA,109.04899999999999,2.2664,111.3154,341293016.4,224.91209780759996,Current_high
2024,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_high
2024,R10EUROPE,211.501,10.9488,222.4498,682031086.8000001,449.45848620120006,Current_high
2024,R10INDIA+,54.78,0.5392,55.3192,169608667.2,111.77211168479998,Current_high
2024,R10LATIN_AM,104.385,8.9296,113.31460000000001,347422563.6,228.95146941240003,Current_high
2024,R10MIDDLE_EAST,262.188,15.5232,277.71119999999996,851462539.1999999,561.1138133328,Current_high
2024,R10NORTH_AM,480.724,64.9328,545.6568,1672983748.8,1102.4962904592,Current_high
2024,R10PAC_OECD,83.69200000000001,9.5128,93.2048,285765916.8000001,188.31973917120004,Current_high
2024,R10REF_ECON,87.072,55.17999999999999,142.252,436144632.0,287.419312488,Current_high
2024,R10REST_ASIA,161.95499999999998,1.1824,163.13739999999999,500179268.4,329.6181378756,Current_high
2023,R10AFRICA,112.377,,,344547881.99999994,227.05705423799998,Current_high
2023,R10CHINA+,121.725,,,373208849.99999994,245.94463214999996,Current_high
2023,R10EUROPE,226.949,,,695825634.0,458.549092806,Current_high
2023,R10INDIA+,56.05,,,171849299.99999997,113.24868869999999,Current_high
2023,R10LATIN_AM,116.036,,,355766376.0,234.450041784,Current_high
2023,R10MIDDLE_EAST,281.996,,,864599735.9999999,569.7712260239999,Current_high
2023,R10NORTH_AM,567.794,,,1740856404.0,1147.224370236,Current_high
2023,R10PAC_OECD,101.921,,,312489786.0,205.930768974,Current_high
2023,R10REF_ECON,157.885,,,484075409.99999994,319.0056951899999,Current_high
2023,R10REST_ASIA,165.453,,,507278898.0,334.296793782,Current_high
2025,R10AFRICA,109.04899999999999,1.6997999999999998,110.74879999999999,339555820.8,223.7672859072,Current_high
2025,R10CHINA+,121.36,0.0,121.36,372089759.99999994,245.20715183999997,Current_high
2025,R10EUROPE,211.501,8.2116,219.7126,673638831.5999999,443.92799002439995,Current_high
2025,R10INDIA+,54.78,0.40440000000000004,55.184400000000004,169195370.39999998,111.49974909359999,Current_high
2025,R10LATIN_AM,104.385,6.6972000000000005,111.0822,340578025.2,224.44091860679998,Current_high
2025,R10MIDDLE_EAST,262.188,11.6424,273.8304,839564006.4,553.2726802175999,Current_high
2025,R10NORTH_AM,480.724,48.6996,529.4236,1623212757.5999997,1069.6972072583999,Current_high
2025,R10PAC_OECD,83.69200000000001,7.134600000000001,90.82660000000001,278474355.6000001,183.51460034040005,Current_high
2025,R10REF_ECON,87.072,41.385,128.457,393849161.9999999,259.5465977579999,Current_high
