Year,AR6_R10,GW,MWh/yr,MtCO2/yr,Type
2031,R10MIDDLE_EAST,276.41788,847497220.0799999,558.5006680327199,Const_low
2031,R10NORTH_AM,370.275,1135263150.0,748.13841585,Const_low
2031,R10PAC_OECD,50.536,154943375.99999997,102.10768478399999,Const_low
2031,R10REF_ECON,61.882999999999996,189733277.99999997,125.03423020199999,Const_low
2031,R10REST_ASIA,135.748,416203368.0,274.278019512,Const_low
2032,R10AFRICA,98.48,301939680.00000006,198.97824912000004,Const_low
2032,R10CHINA+,156.834,480853044.0,316.882155996,Const_low
2032,R10EUROPE,155.80700000000002,477704262.00000006,314.80710865800006,Const_low
2032,R10INDIA+,38.856,119132496.0,78.508314864,Const_low
2032,R10LATIN_AM,85.91499999999999,263415390.0,173.59074201,Const_low
2032,R10MIDDLE_EAST,271.66988,832939852.0799999,548.90736252072,Const_low
2032,R10NORTH_AM,305.05899999999997,935310893.9999998,616.3698791459998,Const_low
2032,R10PAC_OECD,48.925999999999995,150007115.99999994,98.85468944399996,Const_low
2032,R10REF_ECON,60.113,184306458.0,121.457955822,Const_low
2032,R10REST_ASIA,127.335,390409109.99999994,257.27960348999994,Const_low
2033,R10AFRICA,96.993,297380537.99999994,195.97377454199994,Const_low
2033,R10CHINA+,153.406,470342795.99999994,309.955902564,Const_low
2033,R10EUROPE,145.27,445397820.00000006,293.51716338,Const_low
2033,R10INDIA+,38.431000000000004,117829446.0,77.649604914,Const_low
2033,R10LATIN_AM,78.402,240380531.99999997,158.41077058799996,Const_low
2033,R10MIDDLE_EAST,267.40288,819857230.0799999,540.28591462272,Const_low
2033,R10NORTH_AM,248.717,762566322.0,502.531206198,Const_low
2033,R10PAC_OECD,47.443999999999996,145463303.99999997,95.86031733599998,Const_low
2033,R10REF_ECON,58.864999999999995,180480089.99999997,118.93637930999999,Const_low
2033,R10REST_ASIA,124.814,382679723.99999994,252.185938116,Const_low
2034,R10AFRICA,96.58099999999999,296117346.0,195.14133101399995,Const_low
2034,R10CHINA+,150.067,460105422.0,303.209473098,Const_low
2034,R10EUROPE,133.048,407925168.0,268.822685712,Const_low
2034,R10INDIA+,38.224000000000004,117194784.0,77.231362656,Const_low
2034,R10LATIN_AM,75.8,232402799.99999997,153.1534452,Const_low
2034,R10MIDDLE_EAST,262.75888000000003,805618726.0800002,530.9027404867201,Const_low
2034,R10NORTH_AM,221.853,680201297.9999999,448.25265538199994,Const_low
2034,R10PAC_OECD,47.233000000000004,144816377.99999997,95.43399310199999,Const_low
2034,R10REF_ECON,58.785,180234810.0,118.77473979,Const_low
2034,R10REST_ASIA,123.129,377513514.0,248.781405726,Const_low
2035,R10AFRICA,94.80399999999999,290669064.0,191.550913176,Const_low
2035,R10CHINA+,142.211,436018926.0,287.336472234,Const_low
2035,R10EUROPE,120.016,367969056.0,242.491607904,Const_low
2035,R10INDIA+,37.779,115830414.0,76.332242826,Const_low
2035,R10LATIN_AM,74.153,227353097.99999997,149.825691582,Const_low
2035,R10MIDDLE_EAST,254.12287999999998,779140750.0799999,513.45375430272,Const_low
2035,R10NORTH_AM,206.016,631645055.9999999,416.25409190399995,Const_low
2035,R10PAC_OECD,46.73500000000001,143289510.0,94.42778709,Const_low
2035,R10REF_ECON,56.89,174424740.0,114.94590366,Const_low
2035,R10REST_ASIA,119.53999999999999,366509640.0,241.52985275999998,Const_low
2036,R10AFRICA,92.112,282415392.0,186.111743328,Const_low
2036,R10CHINA+,136.245,417727170.0,275.28220503,Const_low
2036,R10EUROPE,107.71000000000001,330238859.99999994,217.62740873999996,Const_low
2036,R10INDIA+,36.077,110612081.99999999,72.89336203799999,Const_low
2036,R10LATIN_AM,69.807,214028262.0,141.044624658,Const_low
2036,R10MIDDLE_EAST,249.21388,764089756.0799999,503.53514925671993,Const_low
2036,R10NORTH_AM,194.108,595135128.0,392.19404935200004,Const_low
2036,R10PAC_OECD,44.304,135836064.0,89.51596617599998,Const_low
2036,R10REF_ECON,55.366,169752155.99999994,111.86667080399997,Const_low
2036,R10REST_ASIA,118.02000000000001,361849320.00000006,238.45870188000004,Const_low
2037,R10AFRICA,88.711,271987926.0,179.24004323399998,Const_low
2037,R10CHINA+,129.34199999999998,396562572.0,261.334734948,Const_low
2037,R10EUROPE,99.561,305254025.99999994,201.162403134,Const_low
2037,R10INDIA+,34.703,106399398.0,70.117203282,Const_low
2037,R10LATIN_AM,66.239,203088774.0,133.835502066,Const_low
2037,R10MIDDLE_EAST,239.01288,732813490.0800002,482.92408996272,Const_low
2037,R10NORTH_AM,186.335,571303110.0,376.48874949,Const_low
2037,R10PAC_OECD,42.81099999999999,131258525.99999996,86.49936863399996,Const_low
2037,R10REF_ECON,54.519000000000005,167155253.99999997,110.15531238599999,Const_low
2037,R10REST_ASIA,115.165,353095890.0,232.69019150999998,Const_low
2038,R10AFRICA,86.451,265058766.0,174.673726794,Const_low
2038,R10CHINA+,125.364,384366024.0,253.29720981599996,Const_low
2038,R10EUROPE,89.266,273689555.99999994,180.36141740399998,Const_low
2038,R10INDIA+,34.611,106117325.99999999,69.931317834,Const_low
2038,R10LATIN_AM,64.643,198195438.00000003,130.61079364200003,Const_low
2038,R10MIDDLE_EAST,231.08988,708521572.0799999,466.91571600071995,Const_low
2038,R10NORTH_AM,176.10600000000002,539940996.0,355.82111636400003,Const_low
2038,R10PAC_OECD,38.938,119383908.0,78.673995372,Const_low
2038,R10REF_ECON,52.108999999999995,159766193.99999997,105.285921846,Const_low
2038,R10REST_ASIA,109.292,335089272.0,220.82383024799998,Const_low
2039,R10AFRICA,83.41499999999999,255750390.00000003,168.53950701000002,Const_low
2039,R10CHINA+,122.065,374251289.99999994,246.63160010999997,Const_low
2039,R10EUROPE,81.322,249333252.0,164.310613068,Const_low
2039,R10INDIA+,32.624,100025184.0,65.916596256,Const_low
2039,R10LATIN_AM,62.738,192354708.0,126.761752572,Const_low
2039,R10MIDDLE_EAST,218.05488,668556262.0799999,440.57857671072,Const_low
2039,R10NORTH_AM,163.07200000000003,499978752.0000001,329.4859975680001,Const_low
2039,R10PAC_OECD,31.503,96588198.00000001,63.65162248200001,Const_low
2039,R10REF_ECON,50.941,156185106.0,102.92598485399999,Const_low
2039,R10REST_ASIA,106.557,326703761.99999994,215.29777915799997,Const_low
2040,R10AFRICA,76.01,233046660.00000003,153.57774894,Const_low
2040,R10CHINA+,119.15,365313900.0,240.7418601,Const_low
2040,R10EUROPE,64.45100000000001,197606766.0,130.222858794,Const_low
2040,R10INDIA+,30.037999999999997,92096508.0,60.691598772,Const_low
2040,R10LATIN_AM,59.139,181320174.00000003,119.48999466600002,Const_low
2040,R10MIDDLE_EAST,204.86488,628115722.0799999,413.92826085072,Const_low
2040,R10NORTH_AM,154.46900000000002,473601954.0,312.103687686,Const_low
2040,R10PAC_OECD,27.828,85320647.99999999,56.226307031999994,Const_low
2040,R10REF_ECON,48.89200000000001,149902872.0,98.785992648,Const_low
2040,R10REST_ASIA,100.668,308648088.0,203.39908999199997,Const_low
2041,R10AFRICA,72.02799999999999,220837847.99999997,145.53214183199998,Const_low
2041,R10CHINA+,115.656,354601296.0,233.68225406399995,Const_low
2041,R10EUROPE,50.065,153499290.0,101.15603210999998,Const_low
2041,R10INDIA+,29.311,89867525.99999999,59.222699633999994,Const_low
2041,R10LATIN_AM,57.494,176276604.00000003,116.16628203600001,Const_low
2041,R10MIDDLE_EAST,195.36087999999998,598976458.0799999,394.7254858747199,Const_low
2041,R10NORTH_AM,143.11200000000002,438781391.99999994,289.15693732799997,Const_low
2041,R10PAC_OECD,26.972999999999995,82699217.99999999,54.49878466199999,Const_low
2041,R10REF_ECON,44.402,136136532.0,89.713974588,Const_low
2041,R10REST_ASIA,97.505,298950330.0,197.00826747000002,Const_low
2042,R10AFRICA,66.493,203867537.99999997,134.348707542,Const_low
2042,R10CHINA+,114.236,350247576.0,230.81315258399997,Const_low
2042,R10EUROPE,41.254999999999995,126487830.0,83.35547997,Const_low
2042,R10INDIA+,27.474999999999998,84238350.0,55.513072650000005,Const_low
2042,R10LATIN_AM,53.093999999999994,162786203.99999997,107.27610843599999,Const_low
2042,R10MIDDLE_EAST,179.07388,549040516.0799999,361.81770009671993,Const_low
2042,R10NORTH_AM,131.642,403614372.0,265.981871148,Const_low
2042,R10PAC_OECD,25.430999999999997,77971445.99999999,51.38318291399999,Const_low
2042,R10REF_ECON,39.304,120506064.00000001,79.41349617600001,Const_low
2042,R10REST_ASIA,95.212,291919991.99999994,192.37527472799997,Const_low
2043,R10AFRICA,61.441,188378106.0,124.141171854,Const_low
2043,R10CHINA+,108.583,332915478.0,219.39130000199998,Const_low
