Country Code,year,Coal_Current_MW,Coal_AnnualMtCO2,Coal_Peak_MW,Coal_Ret_MW,Coal_EarlyRet_MW,Coal_Tran_MW,Coal_duration_year,Coal_Share_Ret,Coal_Share_EarlyRet,Coal_Share_Tran,Coal_Share_PhasedOut,Coal_logCurrent_MW,Gas_Current_MW,Gas_duration_year,Gas_Peak_MW,Gas_Ret_MW,Gas_EarlyRet_MW,Gas_Share_Ret,Gas_Share_EarlyRet,Gas_Share_PhasedOut,Gas_logCurrent_MW,Share_Solar_Gen,Share_Wind_Gen,Share_Nuclear_Gen,Share_Gas_Gen,Share_Coal_Gen,Coal_Gen_Decline_Perc,Gas_Gen_Decline_Perc,rate_coal_gen_5y,rate_coal_share_5y,rate_coal_cap_5y,rate_gas_gen_5y,rate_gas_share_5y,Share_VRE_Gen
UZB,1990.0,2284.0,13.0,2284.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,7.7336835707759,7290.0,29.0,7290.0,0.0,0.0,0.0,0.0,0.0,8.894258825002703,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNM,1990.0,545.0,3.4,545.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.300785794663244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0006911646123718,0.2305033982260108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,7.783224016336037,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,6.0,480.0,0.0,0.0,0.0,0.0,0.0,6.173786103901937,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4511.0,7.0,4511.0,0.0,0.0,0.0,0.0,0.0,8.414274137408396,0.0,0.0,0.0,0.3920147786186759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZA,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639.0,25.0,2639.0,0.0,0.0,0.0,0.0,0.0,7.878155336503324,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEN,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3825.0,34.0,3825.0,0.0,0.0,0.0,0.0,0.0,8.249313746260636,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLR,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,39.0,3680.0,0.0,0.0,0.0,0.0,0.0,8.210668031162976,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,46.0,3000.0,0.0,0.0,0.0,0.0,0.0,8.006367567650246,0.0,0.0,0.0091299989126889,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6570.0,20.0,6570.0,0.0,0.0,0.0,0.0,0.0,8.790269111478656,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKM,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.0,17.0,2105.0,0.0,0.0,0.0,0.0,0.0,7.652070746116482,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,1990.0,37775.1,221.8,37775.1,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,10.539405434390911,67881.0,65.0,67881.0,0.0,0.0,0.0,0.0,0.0,11.125511451119438,0.0,0.0,0.1093374699685825,0.47275535021253,0.1449406209573091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,16.0,770.0,0.0,0.0,0.0,0.0,0.0,6.646390514847729,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,14.0,470.0,0.0,0.0,0.0,0.0,0.0,6.152732694704104,0.0,0.0,0.6004936530324401,0.2387165021156558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRQ,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.0,13.0,2281.0,0.0,0.0,0.0,0.0,0.0,7.732369222284388,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,13.0,604.0,0.0,0.0,0.0,0.0,0.0,6.403574197934815,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944.0,11.0,3944.0,0.0,0.0,0.0,0.0,0.0,8.279950715722526,0.0,0.0,0.0,0.9999169837831507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,10.0,134.0,0.0,0.0,0.0,0.0,0.0,4.897839799950911,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EST,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,8.0,173.0,0.0,0.0,0.0,0.0,0.0,5.153291594497779,0.0,0.0,0.0,0.0558789289871944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875.0,16.0,8875.0,0.0,0.0,0.0,0.0,0.0,9.090993614343615,0.0,0.0,0.0,0.5098688283635842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROU,1990.0,7510.0,43.8,7510.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.92399074475818,2660.0,27.0,2660.0,0.0,0.0,0.0,0.0,0.0,7.886081401775745,0.0,0.0,0.0,0.3510108864696734,0.2877138413685847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRN,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8677.0,22.0,8677.0,0.0,0.0,0.0,0.0,0.0,9.06843112579349,0.0,0.0,0.0,0.5259219668719105,0.0011273957158962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,1990.0,26707.6,155.5,26707.6,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,10.192703448079625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009669741148467,0.9696518893186552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNK,1990.0,3715.0,20.5,3715.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,8.220133957151859,67.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,4.204692619390966,0.0,0.0234795996920708,0.0,0.0265588914549653,0.9068514241724402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234795996920708
DEU,1990.0,45410.5,250.1,45410.5,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,10.723498634821953,7601.0,54.0,7601.0,0.0,0.0,0.0,0.0,0.0,8.936035096566041,0.0,0.0001280128744376,0.2788303280787096,0.0739914414249661,0.5669872718627702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001280128744376
CZE,1990.0,7901.5,48.6,7901.5,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,8.974807893849158,81.0,60.0,81.0,0.0,0.0,0.0,0.0,0.0,4.394449154672439,0.0,0.0,0.2021840372571061,0.0061024570419142,0.7550987634494941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRV,1990.0,125.0,0.7,125.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,4.8283137373023015,328.0,14.0,328.0,0.0,0.0,0.0,0.0,0.0,5.793013608384144,0.0,0.0,0.0,0.1534988713318284,0.0711060948081264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRC,1990.0,4273.0,24.6,4273.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,8.360071435644025,360.0,22.0,360.0,0.0,0.0,0.0,0.0,0.0,5.886104031450156,0.0,0.0,0.0,0.0025876940770557,0.7236917768832662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
